first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,target,address,postcode,state,country,property_valuation
Laraine,Medendorp,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,1,060 Morning Avenue,2016,NSW,Australia,10
Eli,Bockman,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,0,6 Meadow Vale Court,2153,NSW,Australia,10
Talbot,missing,M,33,1961-10-03,missing,IT,Mass Customer,N,No,7.0,0,0 Holy Cross Court,4211,QLD,Australia,9
Sheila-kathryn,Calton,F,56,1977-05-13,Senior Editor,missing,Affluent Customer,N,Yes,8.0,0,17979 Del Mar Point,2448,NSW,Australia,4
Curr,Duckhouse,M,35,1966-09-16,missing,Retail,High Net Worth,N,Yes,13.0,0,9 Oakridge Court,3216,VIC,Australia,9
Fina,Merali,F,6,1976-02-23,missing,Financial Services,Affluent Customer,N,Yes,11.0,0,4 Delaware Trail,2210,NSW,Australia,9
Rod,Inder,M,31,1962-03-30,Media Manager I,missing,Mass Customer,N,No,7.0,1,49 Londonderry Lane,2650,NSW,Australia,4
Mala,Lind,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,0,97736 7th Trail,2023,NSW,Australia,12
Uriah,Bisatt,M,99,1954-04-30,missing,Property,Mass Customer,N,No,9.0,0,93405 Ludington Park,3044,VIC,Australia,8
Sawyere,Flattman,M,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,1,44339 Golden Leaf Alley,4557,QLD,Australia,4
Gabriele,Norcross,M,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,1,2 Sutherland Street,3799,VIC,Australia,6
Rayshell,Kitteman,F,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,0,9 Mcbride Trail,2760,NSW,Australia,8
Erroll,Radage,M,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,0,9861 New Castle Avenue,2428,NSW,Australia,9
Harlin,Parr,M,38,1977-02-27,Media Manager IV,missing,Mass Customer,N,Yes,18.0,0,52 Moland Street,3331,VIC,Australia,4
Heath,Faraday,M,57,1962-03-19,Sales Associate,missing,Affluent Customer,N,Yes,15.0,0,82391 Kensington Lane,3058,VIC,Australia,9
Marjie,Neasham,F,79,1967-07-06,Professor,missing,Affluent Customer,N,No,11.0,1,092 2nd Alley,2135,NSW,Australia,12
Sorcha,Keyson,F,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,0,59 Spaight Circle,2233,NSW,Australia,9
Basile,Firth,M,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,0,032 Bartelt Crossing,2444,NSW,Australia,8
Mile,Cammocke,M,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,0,18 Jenna Center,2650,NSW,Australia,7
Kim,Skpsey,F,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,1,3 Cordelia Plaza,2153,NSW,Australia,10
Geoff,Assaf,M,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,1,28 5th Center,4413,QLD,Australia,3
Trixi,Ginnelly,F,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,0,52 Carey Alley,4740,QLD,Australia,5
Garvin,Klees,M,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,1,96 Texas Plaza,3218,VIC,Australia,7
Fee,Zellmer,M,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,0,48 Eagan Avenue,4868,QLD,Australia,4
Mona,Sancraft,F,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,1,9 Buell Park,4116,QLD,Australia,7
Darrick,Helleckas,M,18,1961-10-18,missing,IT,Affluent Customer,N,Yes,6.0,0,02663 Buell Parkway,2519,NSW,Australia,11
Star,Praton,F,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,0,2294 Pleasure Place,2135,NSW,Australia,12
Marion,Vanichkin,F,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,1,2951 Petterle Place,2756,NSW,Australia,9
Ernst,Hacon,M,44,1957-06-25,Product Engineer,missing,Affluent Customer,N,Yes,11.0,1,63 Lukken Drive,2170,NSW,Australia,9
Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,1,833 Luster Way,4005,QLD,Australia,8
